2024-09-17 18:40:53,934 Epoch: [1][310/600]	Time 0.053 (0.068)	Data 0.002 (0.003)	Loss 0.0716 (0.2054)	Prec@1 92.000 (81.031)	Prec@5 100.000 (96.406)	
2024-09-17 18:40:54,583 Epoch: [1][320/600]	Time 0.070 (0.068)	Data 0.002 (0.003)	Loss 0.0685 (0.2013)	Prec@1 90.000 (81.303)	Prec@5 99.000 (96.485)	
2024-09-17 18:40:55,177 Epoch: [1][330/600]	Time 0.057 (0.068)	Data 0.002 (0.003)	Loss 0.0742 (0.1975)	Prec@1 93.000 (81.647)	Prec@5 98.000 (96.529)	
2024-09-17 18:40:55,801 Epoch: [1][340/600]	Time 0.066 (0.067)	Data 0.003 (0.003)	Loss 0.0691 (0.1939)	Prec@1 89.000 (81.857)	Prec@5 99.000 (96.600)	
2024-09-17 18:40:56,439 Epoch: [1][350/600]	Time 0.071 (0.067)	Data 0.004 (0.003)	Loss 0.0772 (0.1906)	Prec@1 88.000 (82.028)	Prec@5 99.000 (96.667)	
2024-09-17 18:40:57,072 Epoch: [1][360/600]	Time 0.073 (0.067)	Data 0.002 (0.003)	Loss 0.0873 (0.1878)	Prec@1 88.000 (82.189)	Prec@5 98.000 (96.703)	
2024-09-17 18:40:57,714 Epoch: [1][370/600]	Time 0.048 (0.067)	Data 0.002 (0.003)	Loss 0.0742 (0.1848)	Prec@1 89.000 (82.368)	Prec@5 100.000 (96.789)	
2024-09-17 18:40:58,316 Epoch: [1][380/600]	Time 0.048 (0.067)	Data 0.002 (0.003)	Loss 0.0555 (0.1815)	Prec@1 92.000 (82.615)	Prec@5 100.000 (96.872)	
2024-09-17 18:40:58,928 Epoch: [1][390/600]	Time 0.053 (0.066)	Data 0.002 (0.003)	Loss 0.0542 (0.1783)	Prec@1 91.000 (82.825)	Prec@5 100.000 (96.950)	
2024-09-17 18:40:59,475 Epoch: [1][400/600]	Time 0.055 (0.066)	Data 0.002 (0.003)	Loss 0.0738 (0.1758)	Prec@1 88.000 (82.951)	Prec@5 99.000 (97.000)	
2024-09-17 18:41:00,049 Epoch: [1][410/600]	Time 0.064 (0.066)	Data 0.003 (0.003)	Loss 0.0843 (0.1736)	Prec@1 90.000 (83.119)	Prec@5 97.000 (97.000)	
2024-09-17 18:41:00,714 Epoch: [1][420/600]	Time 0.067 (0.066)	Data 0.003 (0.003)	Loss 0.0790 (0.1714)	Prec@1 90.000 (83.279)	Prec@5 99.000 (97.047)	
2024-09-17 18:41:01,309 Epoch: [1][430/600]	Time 0.049 (0.065)	Data 0.002 (0.003)	Loss 0.0765 (0.1693)	Prec@1 90.000 (83.432)	Prec@5 100.000 (97.114)	
2024-09-17 18:41:01,870 Epoch: [1][440/600]	Time 0.058 (0.065)	Data 0.002 (0.003)	Loss 0.0853 (0.1674)	Prec@1 86.000 (83.489)	Prec@5 100.000 (97.178)	
2024-09-17 18:41:02,442 Epoch: [1][450/600]	Time 0.056 (0.065)	Data 0.002 (0.003)	Loss 0.0904 (0.1657)	Prec@1 86.000 (83.543)	Prec@5 97.000 (97.174)	
2024-09-17 18:41:02,989 Epoch: [1][460/600]	Time 0.051 (0.065)	Data 0.002 (0.003)	Loss 0.0643 (0.1636)	Prec@1 91.000 (83.702)	Prec@5 100.000 (97.234)	
2024-09-17 18:41:03,575 Epoch: [1][470/600]	Time 0.061 (0.065)	Data 0.002 (0.003)	Loss 0.0592 (0.1614)	Prec@1 89.000 (83.812)	Prec@5 99.000 (97.271)	
2024-09-17 18:41:04,145 Epoch: [1][480/600]	Time 0.056 (0.064)	Data 0.002 (0.003)	Loss 0.0654 (0.1594)	Prec@1 89.000 (83.918)	Prec@5 100.000 (97.327)	
2024-09-17 18:41:04,704 Epoch: [1][490/600]	Time 0.055 (0.064)	Data 0.002 (0.003)	Loss 0.0538 (0.1573)	Prec@1 90.000 (84.040)	Prec@5 100.000 (97.380)	
2024-09-17 18:41:05,266 Epoch: [1][500/600]	Time 0.056 (0.064)	Data 0.002 (0.003)	Loss 0.0472 (0.1552)	Prec@1 92.000 (84.196)	Prec@5 100.000 (97.431)	
2024-09-17 18:41:05,822 Epoch: [1][510/600]	Time 0.060 (0.064)	Data 0.002 (0.003)	Loss 0.0598 (0.1533)	Prec@1 93.000 (84.365)	Prec@5 99.000 (97.462)	
2024-09-17 18:41:06,364 Epoch: [1][520/600]	Time 0.057 (0.063)	Data 0.002 (0.003)	Loss 0.0645 (0.1516)	Prec@1 92.000 (84.509)	Prec@5 100.000 (97.509)	
2024-09-17 18:41:06,895 Epoch: [1][530/600]	Time 0.054 (0.063)	Data 0.002 (0.003)	Loss 0.1010 (0.1507)	Prec@1 85.000 (84.519)	Prec@5 98.000 (97.519)	
2024-09-17 18:41:07,437 Epoch: [1][540/600]	Time 0.054 (0.063)	Data 0.002 (0.003)	Loss 0.0817 (0.1495)	Prec@1 85.000 (84.527)	Prec@5 100.000 (97.564)	
2024-09-17 18:41:07,993 Epoch: [1][550/600]	Time 0.051 (0.063)	Data 0.002 (0.003)	Loss 0.0676 (0.1480)	Prec@1 90.000 (84.625)	Prec@5 100.000 (97.607)	
2024-09-17 18:41:08,518 Epoch: [1][560/600]	Time 0.051 (0.063)	Data 0.002 (0.003)	Loss 0.0661 (0.1466)	Prec@1 88.000 (84.684)	Prec@5 99.000 (97.632)	
2024-09-17 18:41:09,044 Epoch: [1][570/600]	Time 0.048 (0.062)	Data 0.002 (0.003)	Loss 0.0599 (0.1451)	Prec@1 93.000 (84.828)	Prec@5 100.000 (97.672)	
2024-09-17 18:41:09,574 Epoch: [1][580/600]	Time 0.054 (0.062)	Data 0.002 (0.003)	Loss 0.0638 (0.1437)	Prec@1 92.000 (84.949)	Prec@5 99.000 (97.695)	
2024-09-17 18:41:10,133 Epoch: [1][590/600]	Time 0.049 (0.062)	Data 0.002 (0.003)	Loss 0.0564 (0.1422)	Prec@1 88.000 (85.000)	Prec@5 99.000 (97.717)	
2024-09-17 18:41:10,632 Epoch: [1][599/600]	Time 0.044 (0.062)	Data 0.002 (0.003)	Loss 0.0534 (0.1408)	Prec@1 95.000 (85.164)	Prec@5 99.000 (97.738)	
2024-09-17 18:41:11,063 Test: [0/100]	Model Time 0.310 (0.310)	Loss Time 0.000 (0.000)	Loss 0.0114 (0.0114)	Prec@1 99.000 (99.000)	Prec@5 100.000 (100.000)	
2024-09-17 18:41:11,096 Test: [1/100]	Model Time 0.030 (0.170)	Loss Time 0.000 (0.000)	Loss 0.0232 (0.0173)	Prec@1 97.000 (98.000)	Prec@5 99.000 (99.500)	
2024-09-17 18:41:11,125 Test: [2/100]	Model Time 0.025 (0.122)	Loss Time 0.000 (0.000)	Loss 0.0384 (0.0243)	Prec@1 93.000 (96.333)	Prec@5 100.000 (99.667)	
2024-09-17 18:41:11,151 Test: [3/100]	Model Time 0.024 (0.097)	Loss Time 0.000 (0.000)	Loss 0.0602 (0.0333)	Prec@1 88.000 (94.250)	Prec@5 100.000 (99.750)	
2024-09-17 18:41:11,177 Test: [4/100]	Model Time 0.023 (0.083)	Loss Time 0.000 (0.000)	Loss 0.0442 (0.0355)	Prec@1 94.000 (94.200)	Prec@5 100.000 (99.800)	
2024-09-17 18:41:11,204 Test: [5/100]	Model Time 0.023 (0.073)	Loss Time 0.000 (0.000)	Loss 0.0698 (0.0412)	Prec@1 88.000 (93.167)	Prec@5 99.000 (99.667)	
2024-09-17 18:41:11,229 Test: [6/100]	Model Time 0.023 (0.066)	Loss Time 0.000 (0.000)	Loss 0.0577 (0.0436)	Prec@1 93.000 (93.143)	Prec@5 99.000 (99.571)	
2024-09-17 18:41:11,257 Test: [7/100]	Model Time 0.024 (0.060)	Loss Time 0.000 (0.000)	Loss 0.0453 (0.0438)	Prec@1 94.000 (93.250)	Prec@5 99.000 (99.500)	
2024-09-17 18:41:11,284 Test: [8/100]	Model Time 0.024 (0.056)	Loss Time 0.000 (0.000)	Loss 0.0280 (0.0420)	Prec@1 95.000 (93.444)	Prec@5 100.000 (99.556)	
2024-09-17 18:41:11,310 Test: [9/100]	Model Time 0.024 (0.053)	Loss Time 0.000 (0.000)	Loss 0.0732 (0.0452)	Prec@1 90.000 (93.100)	Prec@5 100.000 (99.600)	
2024-09-17 18:41:11,337 Test: [10/100]	Model Time 0.024 (0.050)	Loss Time 0.000 (0.000)	Loss 0.0514 (0.0457)	Prec@1 94.000 (93.182)	Prec@5 99.000 (99.545)	
2024-09-17 18:41:11,363 Test: [11/100]	Model Time 0.024 (0.048)	Loss Time 0.000 (0.000)	Loss 0.0700 (0.0477)	Prec@1 87.000 (92.667)	Prec@5 100.000 (99.583)	
2024-09-17 18:41:11,390 Test: [12/100]	Model Time 0.024 (0.046)	Loss Time 0.000 (0.000)	Loss 0.1084 (0.0524)	Prec@1 83.000 (91.923)	Prec@5 100.000 (99.615)	
2024-09-17 18:41:11,416 Test: [13/100]	Model Time 0.024 (0.045)	Loss Time 0.000 (0.000)	Loss 0.0489 (0.0522)	Prec@1 93.000 (92.000)	Prec@5 99.000 (99.571)	
2024-09-17 18:41:11,443 Test: [14/100]	Model Time 0.024 (0.043)	Loss Time 0.000 (0.000)	Loss 0.0546 (0.0523)	Prec@1 89.000 (91.800)	Prec@5 100.000 (99.600)	
2024-09-17 18:41:11,469 Test: [15/100]	Model Time 0.023 (0.042)	Loss Time 0.000 (0.000)	Loss 0.0748 (0.0537)	Prec@1 90.000 (91.688)	Prec@5 99.000 (99.562)	
2024-09-17 18:41:11,495 Test: [16/100]	Model Time 0.023 (0.041)	Loss Time 0.000 (0.000)	Loss 0.0609 (0.0541)	Prec@1 93.000 (91.765)	Prec@5 99.000 (99.529)	
2024-09-17 18:41:11,521 Test: [17/100]	Model Time 0.024 (0.040)	Loss Time 0.000 (0.000)	Loss 0.0869 (0.0560)	Prec@1 89.000 (91.611)	Prec@5 99.000 (99.500)	
2024-09-17 18:41:11,548 Test: [18/100]	Model Time 0.024 (0.039)	Loss Time 0.000 (0.000)	Loss 0.0475 (0.0555)	Prec@1 92.000 (91.632)	Prec@5 100.000 (99.526)	
2024-09-17 18:41:11,575 Test: [19/100]	Model Time 0.024 (0.038)	Loss Time 0.000 (0.000)	Loss 0.0671 (0.0561)	Prec@1 90.000 (91.550)	Prec@5 100.000 (99.550)	
2024-09-17 18:41:11,603 Test: [20/100]	Model Time 0.024 (0.038)	Loss Time 0.000 (0.000)	Loss 0.0869 (0.0576)	Prec@1 87.000 (91.333)	Prec@5 98.000 (99.476)	
2024-09-17 18:41:11,632 Test: [21/100]	Model Time 0.025 (0.037)	Loss Time 0.000 (0.000)	Loss 0.0976 (0.0594)	Prec@1 88.000 (91.182)	Prec@5 97.000 (99.364)	
2024-09-17 18:41:11,654 Test: [22/100]	Model Time 0.019 (0.036)	Loss Time 0.000 (0.000)	Loss 0.0386 (0.0585)	Prec@1 94.000 (91.304)	Prec@5 100.000 (99.391)	
2024-09-17 18:41:11,679 Test: [23/100]	Model Time 0.021 (0.036)	Loss Time 0.000 (0.000)	Loss 0.0355 (0.0575)	Prec@1 91.000 (91.292)	Prec@5 100.000 (99.417)	
2024-09-17 18:41:11,707 Test: [24/100]	Model Time 0.025 (0.035)	Loss Time 0.000 (0.000)	Loss 0.0516 (0.0573)	Prec@1 94.000 (91.400)	Prec@5 98.000 (99.360)	
2024-09-17 18:41:11,733 Test: [25/100]	Model Time 0.024 (0.035)	Loss Time 0.000 (0.000)	Loss 0.0432 (0.0567)	Prec@1 95.000 (91.538)	Prec@5 100.000 (99.385)	
2024-09-17 18:41:11,759 Test: [26/100]	Model Time 0.023 (0.034)	Loss Time 0.000 (0.000)	Loss 0.0646 (0.0570)	Prec@1 93.000 (91.593)	Prec@5 99.000 (99.370)	
2024-09-17 18:41:11,785 Test: [27/100]	Model Time 0.024 (0.034)	Loss Time 0.000 (0.000)	Loss 0.0332 (0.0562)	Prec@1 95.000 (91.714)	Prec@5 100.000 (99.393)	
2024-09-17 18:41:11,811 Test: [28/100]	Model Time 0.023 (0.034)	Loss Time 0.000 (0.000)	Loss 0.0279 (0.0552)	Prec@1 96.000 (91.862)	Prec@5 100.000 (99.414)	
2024-09-17 18:41:11,837 Test: [29/100]	Model Time 0.023 (0.033)	Loss Time 0.000 (0.000)	Loss 0.0635 (0.0555)	Prec@1 89.000 (91.767)	Prec@5 100.000 (99.433)	
2024-09-17 18:41:11,864 Test: [30/100]	Model Time 0.024 (0.033)	Loss Time 0.000 (0.000)	Loss 0.0359 (0.0549)	Prec@1 94.000 (91.839)	Prec@5 100.000 (99.452)	
2024-09-17 18:41:11,891 Test: [31/100]	Model Time 0.023 (0.033)	Loss Time 0.000 (0.000)	Loss 0.0773 (0.0556)	Prec@1 88.000 (91.719)	Prec@5 100.000 (99.469)	
2024-09-17 18:41:11,917 Test: [32/100]	Model Time 0.023 (0.032)	Loss Time 0.000 (0.000)	Loss 0.0479 (0.0553)	Prec@1 95.000 (91.818)	Prec@5 100.000 (99.485)	
2024-09-17 18:41:11,943 Test: [33/100]	Model Time 0.023 (0.032)	Loss Time 0.000 (0.000)	Loss 0.0322 (0.0546)	Prec@1 94.000 (91.882)	Prec@5 100.000 (99.500)	
2024-09-17 18:41:11,969 Test: [34/100]	Model Time 0.023 (0.032)	Loss Time 0.000 (0.000)	Loss 0.0296 (0.0539)	Prec@1 95.000 (91.971)	Prec@5 100.000 (99.514)	
2024-09-17 18:41:11,995 Test: [35/100]	Model Time 0.023 (0.032)	Loss Time 0.000 (0.000)	Loss 0.0616 (0.0541)	Prec@1 89.000 (91.889)	Prec@5 100.000 (99.528)	
2024-09-17 18:41:12,021 Test: [36/100]	Model Time 0.023 (0.031)	Loss Time 0.000 (0.000)	Loss 0.0291 (0.0535)	Prec@1 94.000 (91.946)	Prec@5 100.000 (99.541)	
2024-09-17 18:41:12,047 Test: [37/100]	Model Time 0.023 (0.031)	Loss Time 0.000 (0.000)	Loss 0.0851 (0.0543)	Prec@1 89.000 (91.868)	Prec@5 99.000 (99.526)	
2024-09-17 18:41:12,073 Test: [38/100]	Model Time 0.023 (0.031)	Loss Time 0.000 (0.000)	Loss 0.0854 (0.0551)	Prec@1 88.000 (91.769)	Prec@5 98.000 (99.487)	
2024-09-17 18:41:12,099 Test: [39/100]	Model Time 0.024 (0.031)	Loss Time 0.000 (0.000)	Loss 0.0631 (0.0553)	Prec@1 91.000 (91.750)	Prec@5 99.000 (99.475)	
2024-09-17 18:41:12,125 Test: [40/100]	Model Time 0.023 (0.031)	Loss Time 0.000 (0.000)	Loss 0.0608 (0.0554)	Prec@1 92.000 (91.756)	Prec@5 100.000 (99.488)	
2024-09-17 18:41:12,151 Test: [41/100]	Model Time 0.024 (0.030)	Loss Time 0.000 (0.000)	Loss 0.0509 (0.0553)	Prec@1 91.000 (91.738)	Prec@5 99.000 (99.476)	
2024-09-17 18:41:12,178 Test: [42/100]	Model Time 0.024 (0.030)	Loss Time 0.000 (0.000)	Loss 0.0729 (0.0557)	Prec@1 88.000 (91.651)	Prec@5 100.000 (99.488)	
2024-09-17 18:41:12,205 Test: [43/100]	Model Time 0.024 (0.030)	Loss Time 0.000 (0.000)	Loss 0.0513 (0.0556)	Prec@1 92.000 (91.659)	Prec@5 100.000 (99.500)	
